OBJECTID,Id,type,tident,ident,Latitude,Longitude,No_Ruas,TOTAL__KM_,BAIK,SEDANG,RUSAK_RING,RUSAK_BERA
"0","0",TRACK,Trogan Dajah - Tanggungan (R.71),T36198,-6.92671191000,112.89649721000,(R.71),4.50000000000,1.25000000000,2.15000000000,0.70000000000,0.40000000000
"0","0",TRACK,Tunjung - Binoh (R.22),T36483,-7.04511828000,112.78241616000,(R.22),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"1","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"5","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"6","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"7","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"8","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"9","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"10","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"11","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"12","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"13","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"14","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"15","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"16","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"17","2",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
